game_id,role,kill,death,assist,gold_earned,champion_level,total_damage_dealt,total_damage_dealt_to_champions,vision_score,minion_kill,laning_score,is_win,rift_herald_kill,rift_herald_first,dragon_kill,dragon_first,baron_kill,baron_first,tower_kill,horde_kill
6.0,my_adc,0.0,6.0,4.0,5612.0,10.0,59952.0,9777.0,10.0,102.0,4.571571921733558,,,,,,,,,
6.0,my_support,1.0,5.0,2.0,5628.0,10.0,26225.0,11556.0,15.0,35.0,4.416648871288934,,,,,,,,,
6.0,enemy_top,4.0,4.0,1.0,9382.0,14.0,121528.0,17379.0,4.0,149.0,4.776586855671079,,,,,,,,,
6.0,enemy_jungle,2.0,4.0,2.0,8035.0,12.0,169835.0,5209.0,10.0,1.0,4.812874552084495,,,,,,,,,
6.0,enemy_mid,11.0,3.0,5.0,10411.0,14.0,73186.0,22508.0,18.0,115.0,6.658207121713666,,,,,,,,,
6.0,enemy_adc,5.0,3.0,7.0,8902.0,13.0,89576.0,19932.0,4.0,134.0,6.652336425196475,,,,,,,,,
6.0,enemy_support,5.0,2.0,5.0,7227.0,11.0,30059.0,10165.0,24.0,28.0,7.096810972390095,,,,,,,,,
6.0,my_team,,,,35244,,,,,,,False,0,False,0,False,0,False,0,2
6.0,enemy_team,,,,43957,,,,,,,True,1,True,2,True,0,False,6,4
7.0,my_top,6.0,1.0,1.0,7121.0,12.0,58843.0,11573.0,3.0,108.0,6.707196488639387,,,,,,,,,
7.0,my_jungle,4.0,1.0,5.0,7671.0,10.0,120964.0,4093.0,9.0,6.0,7.742400275972328,,,,,,,,,
7.0,my_mid,3.0,2.0,10.0,7078.0,11.0,63007.0,15115.0,9.0,82.0,8.088949897657617,,,,,,,,,
7.0,my_adc,11.0,3.0,2.0,8849.0,10.0,64484.0,14487.0,3.0,103.0,7.0873106180414105,,,,,,,,,
7.0,my_support,1.0,0.0,7.0,4981.0,9.0,16342.0,3674.0,25.0,29.0,5.759500093961271,,,,,,,,,
7.0,enemy_top,0.0,5.0,1.0,3924.0,9.0,40273.0,3680.0,5.0,65.0,2.4565204049033267,,,,,,,,,
7.0,enemy_jungle,3.0,5.0,3.0,5989.0,9.0,72735.0,4480.0,8.0,20.0,4.240499906038729,,,,,,,,,
7.0,enemy_mid,1.0,7.0,0.0,4495.0,10.0,46321.0,6473.0,6.0,69.0,1.4131345391960308,,,,,,,,,
7.0,enemy_adc,2.0,5.0,2.0,5432.0,8.0,36511.0,5677.0,8.0,69.0,2.76834454249179,,,,,,,,,
7.0,enemy_support,1.0,3.0,4.0,4383.0,8.0,5817.0,3505.0,20.0,0.0,3.784709149074261,,,,,,,,,
7.0,my_team,,,,35700,,,,,,,True,0,False,1,True,0,False,4,3
7.0,enemy_team,,,,24223,,,,,,,False,0,False,1,False,0,False,0,3
8.0,my_top,5.0,4.0,4.0,12130.0,16.0,121225.0,14430.0,7.0,151.0,4.93761990417135,,,,,,,,,
8.0,my_jungle,13.0,2.0,2.0,13572.0,16.0,260223.0,18640.0,9.0,23.0,5.687558592042221,,,,,,,,,
8.0,my_mid,8.0,3.0,7.0,9779.0,14.0,102931.0,17860.0,14.0,146.0,7.023282998693182,,,,,,,,,
8.0,my_adc,3.0,1.0,5.0,9559.0,14.0,124170.0,9707.0,12.0,169.0,5.2126778123221555,,,,,,,,,
8.0,my_support,0.0,0.0,14.0,6825.0,12.0,14453.0,5851.0,45.0,19.0,4.956753078052083,,,,,,,,,
8.0,enemy_top,6.0,4.0,0.0,12684.0,15.0,163717.0,26594.0,12.0,171.0,5.5491400031020435,,,,,,,,,
8.0,enemy_jungle,3.0,6.0,2.0,8501.0,11.0,105538.0,5452.0,21.0,8.0,5.043246921947917,,,,,,,,,
8.0,enemy_mid,0.0,10.0,5.0,6585.0,14.0,92012.0,8543.0,13.0,89.0,3.158230543493433,,,,,,,,,
8.0,enemy_adc,1.0,4.0,1.0,7686.0,13.0,81908.0,7437.0,5.0,142.0,4.643744303898232,,,,,,,,,
8.0,enemy_support,0.0,6.0,5.0,6160.0,12.0,80294.0,11968.0,10.0,73.0,4.241230265624657,,,,,,,,,
8.0,my_team,,,,51865,,,,,,,True,0,False,3,True,1,True,7,3
8.0,enemy_team,,,,41616,,,,,,,False,1,True,0,False,0,False,3,1
9.0,my_top,4.0,4.0,5.0,7984.0,14.0,57355.0,16688.0,16.0,87.0,5.252921355018252,,,,,,,,,
9.0,my_jungle,3.0,11.0,2.0,8023.0,11.0,99702.0,6792.0,12.0,7.0,3.527916687223218,,,,,,,,,
9.0,my_mid,10.0,7.0,3.0,10916.0,14.0,93881.0,21735.0,8.0,130.0,5.681280788561855,,,,,,,,,
9.0,my_adc,5.0,9.0,7.0,7568.0,12.0,61341.0,14343.0,4.0,76.0,4.898743036973868,,,,,,,,,
9.0,my_support,2.0,7.0,2.0,5697.0,8.0,11847.0,2951.0,8.0,19.0,3.7701948726825223,,,,,,,,,
9.0,enemy_top,1.0,4.0,2.0,6894.0,13.0,56372.0,6508.0,10.0,81.0,3.961491851294931,,,,,,,,,
9.0,enemy_jungle,7.0,3.0,8.0,10646.0,13.0,179133.0,13140.0,18.0,5.0,5.101256963026132,,,,,,,,,
9.0,enemy_mid,8.0,9.0,7.0,10362.0,14.0,91288.0,26441.0,6.0,85.0,4.2764068738450165,,,,,,,,,
9.0,enemy_adc,9.0,2.0,7.0,11644.0,13.0,114870.0,14504.0,12.0,144.0,6.172789678055228,,,,,,,,,
9.0,enemy_support,13.0,6.0,9.0,11403.0,12.0,64451.0,27816.0,26.0,33.0,6.063187113510917,,,,,,,,,
9.0,my_team,,,,40188,,,,,,,False,0,False,0,False,0,False,1,0
9.0,enemy_team,,,,50949,,,,,,,True,1,True,2,True,0,False,9,6
10.0,my_top,2.0,4.0,3.0,4543.0,11.0,20766.0,5714.0,7.0,51.0,4.861613961021566,,,,,,,,,
10.0,my_jungle,5.0,0.0,1.0,6639.0,11.0,109049.0,7612.0,11.0,9.0,6.348033604179619,,,,,,,,,
10.0,my_mid,1.0,2.0,3.0,4249.0,11.0,49063.0,5692.0,6.0,79.0,3.880574600275827,,,,,,,,,
10.0,my_adc,3.0,0.0,3.0,6547.0,10.0,60273.0,6601.0,5.0,112.0,8.517824327100014,,,,,,,,,
10.0,my_support,3.0,0.0,4.0,5508.0,9.0,23284.0,6570.0,28.0,38.0,9.219932566281985,,,,,,,,,
10.0,enemy_top,4.0,3.0,0.0,6720.0,12.0,73508.0,11352.0,4.0,101.0,6.20834142820453,,,,,,,,,
10.0,enemy_jungle,0.0,3.0,0.0,4827.0,9.0,116793.0,2232.0,8.0,1.0,2.9355266257724164,,,,,,,,,
10.0,enemy_mid,2.0,4.0,0.0,5024.0,10.0,52881.0,8601.0,8.0,100.0,5.1383860389784335,,,,,,,,,
10.0,enemy_adc,0.0,3.0,0.0,4690.0,9.0,38991.0,1977.0,7.0,94.0,2.3428314590814585,,,,,,,,,
10.0,enemy_support,0.0,1.0,0.0,3349.0,8.0,5570.0,1752.0,8.0,9.0,4.113717153141935,,,,,,,,,
10.0,my_team,,,,27486,,,,,,,True,0,False,1,False,0,False,1,0
10.0,enemy_team,,,,24610,,,,,,,False,0,False,1,True,0,False,1,3
11.0,my_top,0.0,8.0,0.0,7375.0,12.0,94795.0,6818.0,6.0,156.0,3.301967200894164,,,,,,,,,
11.0,my_jungle,5.0,2.0,1.0,10345.0,13.0,203760.0,9007.0,9.0,23.0,4.78225074216048,,,,,,,,,
11.0,my_mid,2.0,11.0,1.0,7321.0,12.0,68482.0,9553.0,6.0,116.0,2.267898667593597,,,,,,,,,
11.0,my_adc,4.0,5.0,6.0,8881.0,11.0,97873.0,14511.0,12.0,138.0,5.217749257839522,,,,,,,,,
11.0,my_support,3.0,6.0,6.0,6853.0,11.0,23983.0,9504.0,18.0,32.0,4.711463781996655,,,,,,,,,
11.0,enemy_top,8.0,1.0,7.0,9295.0,15.0,104184.0,19036.0,10.0,139.0,6.085681496414752,,,,,,,,,
11.0,enemy_jungle,10.0,3.0,6.0,10397.0,12.0,149958.0,14135.0,12.0,12.0,5.7588158451282485,,,,,,,,,
11.0,enemy_mid,9.0,2.0,7.0,8106.0,13.0,86623.0,28172.0,13.0,97.0,6.7612337394032895,,,,,,,,,
11.0,enemy_adc,1.0,6.0,8.0,7100.0,12.0,56177.0,10398.0,3.0,118.0,4.399818471944576,,,,,,,,,
11.0,enemy_support,4.0,2.0,7.0,6884.0,11.0,18052.0,7984.0,49.0,21.0,5.555540362703297,,,,,,,,,
11.0,my_team,,,,40775,,,,,,,False,0,False,3,True,0,False,4,0
11.0,enemy_team,,,,41782,,,,,,,True,1,True,0,False,0,False,3,3
12.0,my_top,6.0,5.0,2.0,11246.0,15.0,123109.0,15313.0,10.0,139.0,5.069104071579861,,,,,,,,,
12.0,my_jungle,4.0,2.0,13.0,11550.0,15.0,247280.0,13036.0,28.0,20.0,5.673893929618741,,,,,,,,,
12.0,my_mid,24.0,4.0,8.0,18883.0,18.0,235485.0,51707.0,11.0,196.0,6.725097587352921,,,,,,,,,
12.0,my_adc,6.0,6.0,13.0,11351.0,14.0,107934.0,18028.0,17.0,126.0,5.005631010718739,,,,,,,,,
12.0,my_support,6.0,6.0,12.0,9909.0,12.0,37454.0,13907.0,27.0,30.0,4.994368989281261,,,,,,,,,
12.0,enemy_top,4.0,8.0,3.0,8844.0,14.0,116598.0,20301.0,11.0,114.0,4.623730824609821,,,,,,,,,
12.0,enemy_jungle,2.0,18.0,6.0,8761.0,12.0,114514.0,11183.0,19.0,14.0,2.483813000855098,,,,,,,,,
12.0,enemy_mid,5.0,7.0,4.0,9868.0,15.0,108164.0,16844.0,17.0,138.0,4.141384236285815,,,,,,,,,
12.0,enemy_adc,11.0,5.0,5.0,13030.0,14.0,163713.0,25756.0,18.0,198.0,5.0348361028482,,,,,,,,,
12.0,enemy_support,1.0,8.0,9.0,7855.0,12.0,20439.0,6304.0,19.0,14.0,3.991786348533536,,,,,,,,,
12.0,my_team,,,,62939,,,,,,,True,1,True,3,True,1,True,10,3
12.0,enemy_team,,,,48358,,,,,,,False,0,False,1,False,0,False,3,0
13.0,my_top,5.0,5.0,6.0,11710.0,16.0,144806.0,21557.0,14.0,189.0,5.057024387765043,,,,,,,,,
13.0,my_jungle,3.0,7.0,4.0,11378.0,14.0,225945.0,12665.0,18.0,23.0,4.772933386551227,,,,,,,,,
13.0,my_mid,3.0,11.0,4.0,8768.0,13.0,98872.0,12602.0,4.0,116.0,4.08497092447088,,,,,,,,,
13.0,my_adc,7.0,9.0,5.0,12405.0,14.0,125449.0,15675.0,18.0,127.0,4.965419269549392,,,,,,,,,
13.0,my_support,4.0,12.0,6.0,10408.0,14.0,79320.0,24355.0,60.0,72.0,4.005826404399419,,,,,,,,,
13.0,enemy_top,8.0,4.0,10.0,14097.0,17.0,178148.0,23606.0,17.0,221.0,5.034580730450608,,,,,,,,,
13.0,enemy_jungle,9.0,7.0,10.0,14002.0,16.0,289623.0,26420.0,24.0,28.0,4.83536377050666,,,,,,,,,
13.0,enemy_mid,9.0,3.0,10.0,13045.0,16.0,210569.0,27872.0,26.0,195.0,6.123378987516235,,,,,,,,,
13.0,enemy_adc,18.0,3.0,5.0,15660.0,16.0,129875.0,37569.0,22.0,177.0,6.855867550942798,,,,,,,,,
13.0,enemy_support,0.0,5.0,24.0,8718.0,14.0,13219.0,3780.0,81.0,11.0,5.2667003611783825,,,,,,,,,
13.0,my_team,,,,54669,,,,,,,False,0,False,1,False,0,False,3,3
13.0,enemy_team,,,,65522,,,,,,,True,0,False,3,True,0,False,10,0
14.0,my_top,10.0,9.0,15.0,14931.0,16.0,163238.0,28484.0,8.0,152.0,5.132925640670402,,,,,,,,,
14.0,my_jungle,13.0,6.0,6.0,13358.0,15.0,237037.0,30678.0,20.0,16.0,5.168439668333691,,,,,,,,,
14.0,my_mid,9.0,4.0,2.0,12885.0,16.0,156016.0,18046.0,15.0,184.0,5.405956503709241,,,,,,,,,
14.0,my_adc,3.0,9.0,7.0,10119.0,13.0,112702.0,13953.0,3.0,148.0,3.821055900702421,,,,,,,,,
14.0,my_support,2.0,5.0,13.0,8190.0,13.0,37978.0,13617.0,38.0,37.0,4.755853180308792,,,,,,,,,
14.0,enemy_top,15.0,8.0,2.0,13553.0,15.0,116979.0,29864.0,10.0,142.0,5.008525625011579,,,,,,,,,
